Region,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse
Astoria_LincolnCity,0.944720083,-0.259914755,0.207470525,-2.907438496,0.432939206,-0.081277937,-1.401531879,-0.741625567,0,-0.801029128
BakerCity_JohnDay,0.586088904,1.801038576,1.407735736,1.504912619,1.514356324,1.926352849,0.767332801,0.735610522,0,-0.210928882
Bend,-0.884472638,-0.349121546,0.394332375,-1.880114587,-0.661789861,-1.066463149,-2.156668461,-0.397317308,0,-2.456112126
Eugene,0.69928824,-1.294871951,-0.517359609,-1.251131295,0.616967499,-0.096576257,-0.903663284,0.458250907,0,-1.071895417
Eureka_Brookings,0.183214048,0.413876522,-0.792106634,-1.36192709,0.71491061,0.367651873,-0.367842396,-1.051681138,0,-0.813876366
KlamathFalls_Burns,2.007493058,0.418303613,-0.045666851,-2.060075067,1.614081994,0.350857361,0.120022483,0.476691849,0,-0.561116961
Lewistown,1.140614346,0.02147011,1.67628431,-0.949048017,1.47189498,0.62751585,-1.017898407,0.443533537,0,-0.66873657
Longview_Centralia,0.145686255,-0.723699427,-0.682165026,-0.822893997,0.524477001,-1.092800109,-1.209512714,-0.484419934,0,-0.811738823
Medford_GrantsPass,-0.008695083,-0.623875754,-0.288718496,-0.944311282,0.050372074,-0.001282231,-0.684091182,-0.257269359,0,-1.07863296
Ontario_Boise,0.277806866,-0.394449242,0.146705198,-0.856083425,-0.350777101,-0.223808439,-0.876462585,0.371849712,0,-1.443827315
Portland_Vancouver,0.086279646,-1.308006174,-0.08043412,-0.828401043,-1.003141792,-0.586460464,-0.067397742,-0.08687947,0,-1.146244331
Salem,0.687470925,-0.20604687,0.24405556,-2.44221891,0.217611399,-0.171276722,-2.377681799,-0.019376786,0,-0.999432774
TheDalles,-1.26109329,-0.821786124,0.332557446,-2.600693658,1.03213353,0.389188173,-3.854755138,-0.361731507,0,-1.247007614
Yakima_Pendleton,0.483383753,-0.3985348,1.823499708,0.272279452,0.328344622,1.068840128,0.151031142,0.850888825,0,-0.508994441
Yreka_Redding,-0.096829694,0.622853932,0.014584234,-1.373703864,0.844413926,1.11220848,-2.00502185,0.295520267,0,-0.952967216
