OFareDistrict,DFareDistrict,Fare_2007$,Fare_1990$
TriMetFareless,TriMetFareless,0,0
TriMet1,TriMetFareless,1.75,1.251447607
TriMet2,TriMetFareless,1.75,1.251447607
TriMet3,TriMetFareless,2.05,1.465981482
CTRAN,TriMetFareless,3,2.145338755
Salem,TriMetFareless,3.05,2.181094401
Eugene,TriMetFareless,3.3,2.35987263
Medford,TriMetFareless,4.05,2.896207319
Corvallis,TriMetFareless,2.8,2.002316171
NONE,TriMetFareless,2.25,1.609004066
TriMetFareless,TriMet1,1.75,1.251447607
TriMet1,TriMet1,1.75,1.251447607
TriMet2,TriMet1,1.75,1.251447607
TriMet3,TriMet1,2.05,1.465981482
CTRAN,TriMet1,2.25,1.609004066
Salem,TriMet1,3.05,2.181094401
Eugene,TriMet1,3.3,2.35987263
Medford,TriMet1,4.05,2.896207319
Corvallis,TriMet1,2.8,2.002316171
NONE,TriMet1,2.25,1.609004066
TriMetFareless,TriMet2,1.75,1.251447607
TriMet1,TriMet2,1.75,1.251447607
TriMet2,TriMet2,1.75,1.251447607
TriMet3,TriMet2,1.75,1.251447607
CTRAN,TriMet2,2.25,1.609004066
Salem,TriMet2,2.75,1.966560525
Eugene,TriMet2,3,2.145338755
Medford,TriMet2,3.75,2.681673444
Corvallis,TriMet2,2.5,1.787782296
NONE,TriMet2,1.75,1.251447607
TriMetFareless,TriMet3,2.05,1.465981482
TriMet1,TriMet3,2.05,1.465981482
TriMet2,TriMet3,1.75,1.251447607
TriMet3,TriMet3,1.75,1.251447607
CTRAN,TriMet3,2.25,1.609004066
Salem,TriMet3,2.75,1.966560525
Eugene,TriMet3,3,2.145338755
Medford,TriMet3,3.75,2.681673444
Corvallis,TriMet3,2.5,1.787782296
NONE,TriMet3,1.75,1.251447607
TriMetFareless,CTRAN,3,2.145338755
TriMet1,CTRAN,2.25,1.609004066
TriMet2,CTRAN,2.05,1.465981482
TriMet3,CTRAN,2.05,1.465981482
CTRAN,CTRAN,1.25,0.893891148
Salem,CTRAN,3.25,2.324116984
Eugene,CTRAN,3.5,2.502895214
Medford,CTRAN,4.25,3.039229903
Corvallis,CTRAN,3,2.145338755
NONE,CTRAN,2.25,1.609004066
TriMetFareless,Salem,3.05,2.181094401
TriMet1,Salem,3.05,2.181094401
TriMet2,Salem,2.75,1.966560525
TriMet3,Salem,2.75,1.966560525
CTRAN,Salem,3.25,2.324116984
Salem,Salem,1,0.715112918
Eugene,Salem,2.25,1.609004066
Medford,Salem,3,2.145338755
Corvallis,Salem,1.75,1.251447607
NONE,Salem,1,0.715112918
TriMetFareless,Eugene,3.3,2.35987263
TriMet1,Eugene,3.3,2.35987263
TriMet2,Eugene,3,2.145338755
TriMet3,Eugene,3,2.145338755
CTRAN,Eugene,3.5,2.502895214
Salem,Eugene,2.25,1.609004066
Eugene,Eugene,1.25,0.893891148
Medford,Eugene,3.25,2.324116984
Corvallis,Eugene,2,1.430225837
NONE,Eugene,1.25,0.893891148
TriMetFareless,Medford,4.05,2.896207319
TriMet1,Medford,4.05,2.896207319
TriMet2,Medford,3.75,2.681673444
TriMet3,Medford,3.75,2.681673444
CTRAN,Medford,4.25,3.039229903
Salem,Medford,3,2.145338755
Eugene,Medford,3.25,2.324116984
Medford,Medford,2,1.430225837
Corvallis,Medford,2.75,1.966560525
NONE,Medford,2,1.430225837
TriMetFareless,Corvallis,2.8,2.002316171
TriMet1,Corvallis,2.8,2.002316171
TriMet2,Corvallis,2.5,1.787782296
TriMet3,Corvallis,2.5,1.787782296
CTRAN,Corvallis,3,2.145338755
Salem,Corvallis,1.75,1.251447607
Eugene,Corvallis,2,1.430225837
Medford,Corvallis,2.75,1.966560525
Corvallis,Corvallis,0.75,0.536334689
NONE,Corvallis,0.75,0.536334689
TriMetFareless,NONE,2.05,1.465981482
TriMet1,NONE,2.05,1.465981482
TriMet2,NONE,1.75,1.251447607
TriMet3,NONE,1.75,1.251447607
CTRAN,NONE,2.25,1.609004066
Salem,NONE,1,0.715112918
Eugene,NONE,1.25,0.893891148
Medford,NONE,2,1.430225837
Corvallis,NONE,0.75,0.536334689
NONE,NONE,2,1.430225837
